,,answer_predicate,answer_predicate,answer_predicate,z,z,z,evidence,evidence,evidence,reason,reason,reason
annotator,,annotator1,annotator2,annotator3,annotator1,annotator2,annotator3,annotator1,annotator2,annotator3,annotator1,annotator2,annotator3
lo_id,predicate,,,,,,,,,,,,
DP_LO_110,ack-c,yes,no,no,,,,[7],[],[],tiniest mistake,,
DP_LO_110,ano-z,no,no,no,,,,[],[],[],,,
DP_LO_110,deny-c,no,yes,yes,,,,[],"[1, 2, 3, 7]","[2, 3, 6, 7]",,,
DP_LO_110,miti,no,no,no,,,,[],[],[],,,No future actions.
DP_LO_110,no-evi,no,no,no,,,,[],[],[],,,
DP_LO_110,no-need-address,yes,yes,yes,,,,"[2, 3]","[1, 2, 3, 7]",[7],,misjudgment is not a problem because it doesn't happen thanks to the opportunities given to correct every potential mistakes,Action already part of the process.
DP_LO_110,reverse-c,no,no,no,,,,[],[],[],,,
DP_LO_110,trans1,no,no,no,,,,[],[],[],,,
DP_LO_110,trans2,no,yes,yes,,every avenue to correct potential mistakes has been explored and exploited,every avenue to correct potential mistakes has been explored and exploited,[],[],[],,"because DP exists, we have to do Z, thus DP promotes Z (minor interp)",
DP_LO_110,x-pro-z,no,no,no,,,,[],[],[],,,
DP_LO_110,x-sup-z,no,no,yes,,,murder cases,[],[],[],,,
DP_LO_110,y-pro-opposite-z,no,no,no,,,,[],[],[],,,
DP_LO_110,y-sup-same-z,no,no,no,,,,[],[],[],,,
DP_LO_135,ack-c,no,no,no,,,,[],[],[],Not mentioned,,
DP_LO_135,ano-z,no,no,no,,,,[],[],[],,,
DP_LO_135,deny-c,no,no,no,,,,[],[],[],,,
DP_LO_135,miti,no,no,no,,,,[],[],[],,,
DP_LO_135,no-evi,no,no,no,,,,[],[],[],,,
DP_LO_135,no-need-address,no,no,no,,,,[],[],[],,,
DP_LO_135,reverse-c,no,no,no,,,,[],[],[],,,
DP_LO_135,trans1,no,no,no,,,,[],[],[],,,
DP_LO_135,trans2,no,no,no,,,,[],[],[],,,
DP_LO_135,x-pro-z,yes,yes,yes,"deters crime, could pay for services for people who do not commit crimes",services for people who do not commit crimes,deters crime,[],[],[],,"if DP exists, we don't need to pay money for life imprisonment, so that money can be used for Z",
DP_LO_135,x-sup-z,yes,yes,yes,costs,The burden of letting taxpayers pay a lot of money for the care of inmates,heinous crime,[],[],[],,,
DP_LO_135,y-pro-opposite-z,no,no,no,,,,[],[],[],,,
